Player,League,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
David Soria,Spain La Liga 2025-26,Getafe,Getafe,GK,33.0,5000000,2026-06-30,36,3604,0,0.0,0,0.0,0.27,72.73,Spain,Spain,right,192,85,no,1.6,0.0,0.0,0.17,85.71,0.0,0.0,0.0,1.6,2.02,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,33.33,0.0,0.0,0.0,8.44,0.17,0.07,14.41,76.78,11.91,73.58,0.0,0.0,2.45,91.84,3.82,97.39,10.59,69.34,45.08,51.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,56.08,0.12,0.0,0.2,0.0,0.0,0.0,7.74,85.81,37,0.92,153,3.82,11,75.82,43.94,1.1,6.94,0.173,0.0,0.85,0.17,,,,0.0,0,0.0
Antonio Sivera,Spain La Liga 2025-26,Deportivo Alavés,Deportivo Alavés,GK,29.0,6000000,2027-06-30,36,3592,0,0.0,0,0.0,0.63,72.0,Spain,Spain,right,185,79,no,1.75,0.15,50.0,0.38,86.67,0.0,0.0,0.0,1.68,2.19,0.03,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,33.33,0.0,0.0,0.0,10.3,0.15,0.05,15.68,79.07,11.65,73.33,0.0,0.0,3.68,95.92,5.64,96.44,10.05,69.33,40.05,49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,67.16,0.25,0.0,0.1,25.0,0.05,0.0,8.29,81.87,54,1.35,150,3.76,4,64.0,48.9,1.23,-5.1,-0.128,0.0,1.38,0.38,,,,0.0,0,0.0
M. Dmitrović,Spain La Liga 2025-26,Espanyol,Espanyol,GK,34.0,900000,2028-06-30,36,3579,0,0.0,0,0.0,0.53,80.95,Serbia,Serbia,left,189,85,no,1.86,0.13,60.0,0.28,100.0,0.05,0.06,0.0,1.74,1.99,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.08,66.67,0.0,0.05,0.0,10.49,0.18,0.13,16.32,82.43,11.52,76.2,0.0,0.0,4.12,98.78,7.75,98.38,8.5,68.64,38.74,54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.12,57.26,0.25,20.0,0.23,55.56,0.05,0.0,7.02,83.51,53,1.33,180,4.53,10,70.56,54.63,1.37,1.63,0.041,0.0,1.68,0.28,,,,0.0,0,0.0
A. Radu,Spain La Liga 2025-26,Celta de Vigo,Celta de Vigo,GK,28.0,3000000,2029-06-30,36,3563,0,0.0,0,0.0,0.38,66.67,Romania,Romania,right,188,80,no,1.29,0.05,100.0,0.18,100.0,0.0,0.0,0.0,1.24,1.46,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.0,0.0,0.03,10.41,0.28,0.13,15.81,86.58,6.49,70.43,0.0,0.0,7.98,98.1,11.37,98.67,4.45,55.68,28.08,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,32.43,0.1,50.0,0.18,0.0,0.05,0.0,3.11,64.23,47,1.19,155,3.92,9,69.68,45.23,1.14,-1.77,-0.045,0.0,1.19,0.18,,,,0.0,0,0.0
Unai Simón,Spain La Liga 2025-26,Athletic Club,Athletic Club,GK,28.0,0,2029-06-30,36,3555,0,0.0,0,0.0,0.63,92.0,Spain,Spain,right,190,89,no,2.25,0.1,75.0,0.38,100.0,0.0,0.0,0.0,2.18,2.8,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.03,0.0,14.61,0.2,0.2,22.3,80.14,14.86,72.4,0.05,50.0,6.86,96.31,11.95,96.19,10.35,61.61,33.65,49.32,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.3,58.24,0.3,16.67,0.25,30.0,0.03,0.0,7.44,77.21,53,1.34,146,3.7,6,63.7,46.74,1.18,-6.26,-0.158,0.0,1.16,0.38,,,,0.0,0,0.0
Álex Remiro,Spain La Liga 2025-26,Real Sociedad,Real Sociedad,GK,31.0,25000000,2027-06-30,35,3491,0,0.0,0,0.0,0.64,92.0,Spain,Spain,right,191,79,no,1.44,0.13,80.0,0.31,91.67,0.0,0.0,0.0,1.34,1.82,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.13,100.0,0.0,0.0,0.0,19.21,0.36,0.13,27.1,84.97,15.7,75.7,0.03,0.0,10.42,98.02,17.04,98.18,10.03,62.72,31.69,48.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,55.45,0.23,0.0,0.13,0.0,0.0,0.0,7.66,71.72,55,1.42,151,3.89,3,63.58,51.71,1.33,-3.29,-0.085,0.0,1.39,0.31,,,,0.0,0,0.0
L. Cabrera,Spain La Liga 2025-26,Espanyol,Espanyol,LCB,34.0,1200000,2027-06-30,35,3486,3,3.49,0,0.41,11.64,56.1,Uruguay,"Uruguay, Spain",left,190,82,no,7.25,4.1,63.52,4.78,58.92,0.18,0.21,0.52,4.47,5.15,0.88,3,0.08,0,0.0,0.57,0.08,3,0.08,0.09,3,0.08,30,0.77,36.67,10.0,0.0,0.49,47.37,0.41,37.5,0.05,100.0,0.0,0.15,33.33,0.7,29.63,1.21,0.18,0.0,22.82,0.08,0.21,36.2,83.24,17.76,73.4,2.25,95.4,12.57,93.02,29.12,90.25,6.61,54.69,22.05,40.51,0.01,0.08,0.08,0.0,0.03,0.0,0.03,5.58,58.33,0.9,42.86,0.39,40.0,0.34,0.21,8.13,74.29,0,,0,,0,0.0,0.0,0.0,,,1.68,,,0.0,0.0,0.0,0.0,0,0.0
M. Valjent,Spain La Liga 2025-26,Mallorca,Mallorca,"RCB, LCB",30.0,6000000,2029-06-30,35,3483,0,1.58,0,0.18,10.47,61.23,Slovakia,Slovakia,right,187,83,no,7.98,4.83,66.84,2.74,53.77,0.1,0.13,0.47,4.65,5.85,0.85,6,0.16,0,0.0,0.31,0.0,0,0.0,0.04,0,0.0,15,0.39,46.67,0.0,0.0,0.08,33.33,0.0,0.0,0.08,33.33,0.0,0.16,66.67,0.85,36.36,0.36,1.09,0.1,29.77,0.21,0.26,42.69,88.62,16.77,76.89,3.28,95.28,18.14,97.44,37.31,93.63,5.3,54.15,20.89,39.78,0.0,0.08,0.03,0.03,0.03,0.0,0.0,4.55,66.48,0.39,33.33,0.36,28.57,0.1,0.03,6.59,70.2,0,,0,,0,0.0,0.0,0.0,,,2.07,,,0.0,0.0,0.0,0.0,0,0.0
F. Lejeune,Spain La Liga 2025-26,Rayo Vallecano,Rayo Vallecano,RCB,34.0,3000000,2028-06-30,35,3471,2,2.48,1,0.14,13.41,61.32,France,France,right,190,81,no,9.26,6.25,67.22,3.73,60.42,0.36,0.54,0.73,4.69,6.94,1.19,6,0.16,0,0.0,0.6,0.05,2,0.05,0.06,1,0.03,38,0.99,36.84,5.263,0.03,0.18,14.29,0.0,0.0,0.18,14.29,0.03,0.41,50.0,1.24,43.75,0.6,0.7,0.08,37.05,0.29,0.36,52.04,89.04,21.11,78.26,3.03,100.0,24.04,96.76,44.62,94.77,7.23,55.56,23.02,45.87,0.0,0.18,0.0,0.0,0.0,0.0,0.05,6.59,66.54,0.57,36.36,0.34,38.46,0.21,0.03,8.82,75.59,0,,0,,0,0.0,0.0,0.0,,,2.52,,,0.41,0.36,57.14,0.0,0,0.0
Aarón Escandell,Spain La Liga 2025-26,Real Oviedo,Real Oviedo,GK,30.0,1000000,2027-06-30,35,3462,0,0.0,1,0.0,0.47,72.22,Spain,Spain,right,185,72,no,1.2,0.0,0.0,0.21,75.0,0.0,0.0,0.0,1.2,1.46,0.03,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.21,75.0,0.0,0.0,0.0,16.64,0.44,0.18,23.92,82.28,14.69,73.27,0.0,0.0,8.45,97.23,12.22,97.66,11.67,66.37,34.43,47.26,0.0,0.0,0.0,0.03,0.0,0.0,0.03,2.52,45.36,0.08,0.0,0.21,37.5,0.03,0.0,8.63,76.2,54,1.4,195,5.07,10,72.31,60.88,1.58,6.88,0.179,0.0,1.12,0.21,,,,0.0,0,0.0
Luis Milla,Spain La Liga 2025-26,Getafe,Getafe,"DMF, RCMF",31.0,3500000,2027-06-30,35,3420,0,1.02,9,6.33,13.47,52.34,Spain,Spain,right,175,67,no,7.03,5.03,64.92,2.74,37.5,0.16,0.2,0.08,3.61,4.53,0.76,4,0.11,1,0.03,1.0,0.0,0,0.0,0.03,0,0.0,23,0.61,8.7,0.0,0.24,1.37,40.38,0.34,23.08,1.0,47.37,0.18,0.74,50.0,4.18,48.43,0.42,0.79,0.24,18.47,0.45,1.16,32.32,80.13,12.05,70.74,4.29,94.48,10.87,82.57,26.37,86.73,4.66,54.24,18.71,33.12,0.17,1.71,0.08,0.03,0.13,20.0,0.29,6.13,72.53,2.24,47.06,0.61,26.09,0.5,0.58,6.11,74.57,0,,0,,0,0.0,0.0,0.0,,,0.21,,,1.89,0.08,0.0,3.5,0,0.0
Sergio Herrera,Spain La Liga 2025-26,Osasuna,Osasuna,GK,32.0,6000000,2028-06-30,35,3415,0,0.0,0,0.0,0.63,62.5,Spain,Spain,right,192,82,no,1.84,0.11,50.0,0.4,66.67,0.0,0.0,0.0,1.79,2.19,0.05,2,0.05,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.0,0.0,0.0,13.05,0.37,0.11,19.11,86.34,9.96,78.31,0.0,0.0,8.12,95.78,12.81,96.91,6.25,64.98,29.96,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,35.71,0.11,25.0,0.05,50.0,0.03,0.0,4.93,75.94,44,1.16,153,4.03,7,71.24,43.23,1.14,-0.77,-0.02,0.0,1.42,0.4,,,,0.0,0,0.0
M. Ryan,Spain La Liga 2025-26,Levante,Levante,GK,34.0,3500000,2026-06-30,34,3395,0,0.05,0,0.0,0.77,79.31,Australia,"Australia, Scotland",right,184,82,no,1.7,0.13,80.0,0.58,81.82,0.03,0.03,0.0,1.56,1.86,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.0,15.51,0.19,0.03,22.69,88.67,11.64,78.82,0.0,0.0,10.52,98.99,13.81,98.85,8.85,73.05,31.38,46.53,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.01,59.21,0.19,0.0,0.16,0.0,0.0,0.0,6.42,80.58,54,1.43,178,4.72,8,69.66,53.72,1.42,-0.28,-0.007,0.0,1.35,0.58,,,,0.0,0,0.0
M. Arambarri,Spain La Liga 2025-26,Getafe,Getafe,LCMF,30.0,5000000,2028-06-30,35,3391,6,8.77,2,0.47,17.38,49.31,Uruguay,"Uruguay, Spain",right,175,74,no,6.79,5.73,62.04,3.58,44.44,0.16,0.2,0.13,3.08,3.91,1.62,6,0.16,0,0.0,1.54,0.16,4,0.11,0.23,2,0.05,54,1.43,31.48,11.111,0.05,0.5,21.05,0.24,33.33,0.27,10.0,0.05,1.27,72.92,6.4,41.49,1.88,0.66,0.11,11.76,0.56,1.67,20.01,78.12,6.21,64.1,3.11,94.02,6.66,84.06,17.52,83.18,2.02,47.37,16.83,33.44,0.01,0.32,0.03,0.0,0.11,50.0,0.08,3.26,63.41,0.77,34.48,0.32,50.0,0.4,0.11,2.57,63.92,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.03,0.03,0.0,0.0,3,66.667
N. Tenaglia,Spain La Liga 2025-26,Deportivo Alavés,Deportivo Alavés,"RCB, CB, LCB",30.0,2000000,2029-06-30,34,3386,2,2.89,0,0.41,12.36,60.43,Argentina,"Argentina, Italy",right,181,70,no,8.64,5.45,66.34,2.84,52.34,0.43,0.55,0.77,4.6,5.95,0.66,2,0.05,0,0.0,0.72,0.05,2,0.05,0.08,0,0.0,21,0.56,38.1,9.524,0.0,0.51,31.58,0.08,33.33,0.43,31.25,0.03,0.58,59.09,1.86,52.86,0.61,0.93,0.13,23.98,0.32,0.96,35.67,86.44,13.9,76.29,2.9,94.5,14.43,93.92,30.97,91.85,4.23,52.83,20.61,38.0,0.01,0.16,0.0,0.0,0.03,0.0,0.08,3.75,68.79,0.61,34.78,0.16,33.33,0.03,0.16,5.66,69.48,0,,0,,0,0.0,0.0,0.0,,,1.44,,,0.0,0.0,0.0,0.0,0,0.0
Aleix Febas,Spain La Liga 2025-26,Elche,Elche,"LCMF, DMF",30.0,2200000,2026-06-30,35,3367,2,2.41,3,1.64,17.56,55.1,Spain,Spain,right,172,64,no,6.34,5.69,65.26,0.78,31.03,0.27,0.41,0.11,2.35,3.58,0.83,10,0.27,0,0.0,2.19,0.05,2,0.05,0.06,0,0.0,24,0.64,33.33,8.333,0.08,0.91,29.41,0.61,39.13,0.27,10.0,0.21,2.62,63.27,9.38,53.56,1.23,3.37,0.96,40.34,0.67,2.83,51.43,89.76,14.89,83.3,10.67,97.24,13.87,91.33,48.86,91.85,1.68,61.9,14.91,23.7,0.04,0.48,0.11,0.08,0.19,28.57,0.32,6.44,85.06,1.68,58.73,0.29,36.36,0.86,0.29,5.21,84.1,0,,0,,0,0.0,0.0,0.0,,,1.68,,,0.0,0.0,0.0,0.0,0,0.0
J. Toljan,Spain La Liga 2025-26,Levante,Levante,RB,31.0,3500000,2027-06-30,35,3361,1,1.32,3,3.56,9.83,52.32,Germany,"Germany, United States",right,182,74,no,7.74,5.36,61.5,1.5,39.29,0.35,0.41,0.37,4.1,4.81,0.8,7,0.19,0,0.0,1.42,0.03,1,0.03,0.04,0,0.0,9,0.24,11.11,11.111,0.08,2.22,45.78,0.0,0.0,2.17,45.68,0.11,0.59,63.64,1.9,47.89,0.91,0.88,0.24,22.47,1.69,0.51,31.33,76.75,12.48,66.09,5.17,95.34,8.78,78.66,24.93,86.04,4.39,37.8,19.71,39.48,0.1,0.62,0.03,0.03,0.0,0.0,0.56,3.88,57.93,1.98,52.7,0.32,25.0,0.4,0.94,6.37,67.65,0,,0,,0,0.0,0.0,0.0,,,1.02,,,0.03,0.0,0.0,0.0,0,0.0
Juan Iglesias,Spain La Liga 2025-26,Getafe,Getafe,"RB, LB, RCB",27.0,2500000,2026-06-30,35,3316,1,1.21,2,2.36,19.0,53.43,Spain,Spain,right,187,76,no,9.64,8.79,60.19,2.33,47.67,0.27,0.34,0.24,4.07,5.14,1.63,4,0.11,0,0.0,2.2,0.03,1,0.03,0.03,0,0.0,24,0.65,20.83,4.167,0.05,2.77,38.24,0.71,26.92,2.06,42.11,0.16,2.14,46.84,5.35,48.22,0.49,0.84,0.16,14.0,0.92,1.71,25.38,64.39,12.76,57.66,2.63,89.69,6.57,69.01,16.83,75.0,6.05,46.19,23.44,38.81,0.06,0.54,0.03,0.03,0.05,0.0,0.27,5.65,57.21,2.63,41.24,0.49,22.22,0.3,1.0,7.08,63.98,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.0,0.0,0.0,0.0,0,0.0
Carlos Romero,Spain La Liga 2025-26,Espanyol,Espanyol,LB,24.0,0,2029-06-30,34,3316,5,3.18,4,2.5,15.47,49.65,Spain,Spain,left,180,76,yes,9.17,7.38,65.07,1.19,38.64,0.3,0.34,0.41,4.07,4.65,1.0,4,0.11,0,0.0,2.42,0.14,5,0.14,0.09,0,0.0,36,0.98,27.78,13.889,0.11,2.8,36.89,2.77,37.25,0.03,0.0,0.3,2.31,44.71,5.59,34.47,1.22,2.28,0.41,18.48,1.36,0.41,28.44,77.19,9.17,73.96,5.35,94.92,9.07,76.05,22.72,84.47,3.12,59.13,19.73,33.38,0.07,0.65,0.03,0.03,0.11,75.0,0.38,3.09,70.18,2.31,49.41,0.24,55.56,0.52,1.0,5.78,69.95,0,,0,,0,0.0,0.0,0.0,,,1.19,,,0.05,0.03,0.0,0.03,0,0.0
Jonny Otto,Spain La Liga 2025-26,Deportivo Alavés,Deportivo Alavés,"RB, RCB",32.0,5000000,2027-06-30,34,3307,0,0.67,0,0.42,15.92,54.02,Spain,Spain,both,175,70,no,9.63,7.35,61.11,1.66,55.74,0.41,0.53,0.33,4.74,6.16,1.01,7,0.19,0,0.0,1.01,0.0,0,0.0,0.02,0,0.0,9,0.24,33.33,0.0,0.0,0.82,36.67,0.0,0.0,0.82,36.67,0.05,0.84,70.97,4.93,44.2,0.41,1.5,0.14,32.77,0.49,0.68,46.84,87.33,20.49,81.81,5.39,94.44,12.46,92.14,42.86,90.1,3.18,62.39,16.47,37.41,0.01,0.27,0.03,0.0,0.19,14.29,0.11,6.18,80.62,1.17,41.86,0.38,42.86,0.24,0.3,7.18,68.18,0,,0,,0,0.0,0.0,0.0,,,0.98,,,0.0,0.0,0.0,0.0,0,0.0
A. Batalla,Spain La Liga 2025-26,Rayo Vallecano,Rayo Vallecano,GK,30.0,5000000,2030-06-30,33,3278,0,0.0,0,0.0,0.71,76.92,Argentina,"Argentina, Italy",right,185,87,no,1.51,0.14,80.0,0.27,90.0,0.03,0.04,0.0,1.37,2.02,0.03,5,0.14,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.25,77.78,0.0,0.0,0.0,18.89,0.44,0.08,28.33,79.36,19.74,72.46,0.0,0.0,7.61,96.03,14.19,97.1,14.06,61.91,36.37,51.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,4.64,45.56,0.85,12.9,0.69,32.0,0.11,0.0,9.64,74.07,37,1.02,128,3.51,10,71.09,36.08,0.99,-0.92,-0.025,0.0,1.02,0.27,,,,0.0,0,0.0
O. Vlachodimos,Spain La Liga 2025-26,Sevilla,Sevilla,GK,32.0,7000000,2028-06-30,32,3225,0,0.0,0,0.0,0.36,76.92,Germany,"Germany, Greece",right,191,77,no,1.26,0.0,0.0,0.22,87.5,0.0,0.0,0.0,1.26,1.77,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.06,100.0,0.0,0.0,0.0,15.24,0.36,0.03,20.73,84.93,10.38,72.04,0.0,0.0,9.77,98.29,13.06,97.44,7.65,63.87,32.81,49.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,51.79,0.03,0.0,0.03,0.0,0.0,0.0,6.64,71.01,51,1.42,140,3.91,5,63.57,49.79,1.39,-1.21,-0.034,0.0,1.0,0.22,,,,0.0,0,0.0
V. Muriqi,Spain La Liga 2025-26,Mallorca,Mallorca,CF,32.0,12000000,2029-06-30,35,3222,22,20.28,0,0.32,22.46,39.3,Kosovo,"Kosovo, Albania",left,194,92,no,2.6,1.15,65.85,8.04,47.57,0.06,0.07,0.17,1.79,2.25,1.06,4,0.11,1,0.03,1.93,0.61,17,0.47,0.57,7,0.2,99,2.77,47.47,22.222,0.0,0.31,18.18,0.2,14.29,0.11,25.0,0.06,0.73,73.08,7.88,30.5,3.55,0.45,0.0,11.31,2.23,1.62,15.87,72.54,3.63,50.77,4.3,85.71,4.02,80.56,15.03,74.16,0.56,55.0,15.73,21.55,0.01,0.28,0.0,0.0,0.03,100.0,0.06,1.98,60.56,0.61,59.09,0.08,33.33,0.45,0.06,1.76,61.9,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.0,0.0,0.0,0.0,7,71.429
Antonio Blanco,Spain La Liga 2025-26,Deportivo Alavés,Deportivo Alavés,"DMF, LCMF, RCMF",25.0,7500000,2027-06-30,34,3212,2,1.51,3,1.29,16.95,53.88,Spain,Spain,right,176,69,no,10.17,8.85,60.44,2.44,47.13,0.28,0.36,0.28,4.54,5.83,1.85,9,0.25,0,0.0,1.26,0.06,2,0.06,0.04,0,0.0,37,1.04,32.43,5.405,0.08,0.81,37.93,0.17,50.0,0.64,34.78,0.11,0.84,73.33,3.53,46.03,0.45,0.5,0.08,32.17,0.06,1.09,48.25,86.82,14.99,75.14,7.0,97.2,16.67,92.44,43.37,90.37,4.12,58.5,17.69,35.1,0.04,0.39,0.0,0.03,0.03,0.0,0.17,6.36,71.81,1.34,39.58,0.5,22.22,0.31,0.28,5.83,68.27,0,,0,,0,0.0,0.0,0.0,,,1.46,,,0.03,0.0,0.0,0.0,0,0.0
Alejandro Catena,Spain La Liga 2025-26,Osasuna,Osasuna,"RCB, CB",31.0,4000000,2028-06-30,33,3181,3,1.9,1,0.44,11.97,59.81,Spain,Spain,right,194,82,no,7.95,4.61,68.1,4.16,55.1,0.28,0.34,0.85,4.53,5.5,1.13,11,0.31,1,0.03,0.25,0.08,3,0.08,0.05,3,0.08,16,0.45,25.0,18.75,0.03,0.08,33.33,0.03,100.0,0.06,0.0,0.03,0.17,66.67,0.76,51.85,0.88,0.34,0.0,28.24,0.57,0.4,42.75,88.15,15.14,75.89,3.23,94.74,21.3,95.48,35.82,92.5,6.85,66.12,22.88,42.2,0.01,0.08,0.0,0.0,0.0,0.0,0.11,4.89,65.32,0.51,38.89,0.42,53.33,0.23,0.03,7.67,70.85,0,,0,,0,0.0,0.0,0.0,,,2.55,,,0.0,0.0,0.0,0.0,0,0.0
Vitor Reis,Spain La Liga 2025-26,Girona,Girona,"RCB, LCB, CB",20.0,0,2029-06-30,33,3140,1,2.43,0,0.28,15.25,57.52,Brazil,Brazil,right,186,77,yes,9.63,6.08,69.34,4.79,50.3,0.11,0.14,1.03,5.3,6.62,0.95,8,0.23,1,0.03,0.34,0.03,1,0.03,0.07,1,0.03,11,0.32,18.18,9.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,71.43,1.83,48.44,0.46,0.8,0.09,34.11,0.26,0.6,47.46,90.88,16.51,80.73,3.58,97.6,21.41,97.59,44.43,93.48,3.04,52.83,18.94,35.76,0.01,0.06,0.0,0.0,0.0,0.0,0.06,4.07,75.35,0.11,50.0,0.23,50.0,0.11,0.0,5.56,57.73,0,,0,,0,0.0,0.0,0.0,,,2.29,,,0.0,0.0,0.0,0.0,0,0.0
Jon Moncayola,Spain La Liga 2025-26,Osasuna,Osasuna,"RDMF, LCMF, RCMF",28.0,7000000,2031-06-30,34,3119,0,2.1,2,2.51,11.66,53.71,Spain,Spain,right,182,66,no,6.64,6.78,56.17,1.15,57.5,0.0,0.0,0.2,2.83,3.43,1.1,9,0.26,0,0.0,1.56,0.0,0,0.0,0.06,0,0.0,20,0.58,25.0,0.0,0.06,2.77,35.42,0.55,31.58,2.22,36.36,0.32,0.69,62.5,2.25,53.85,0.69,1.1,0.17,28.83,0.81,0.4,40.34,79.61,13.94,70.19,7.3,93.68,13.74,81.93,32.4,87.8,5.28,50.82,20.43,34.89,0.07,0.72,0.06,0.0,0.03,0.0,0.32,6.72,67.38,3.4,49.15,0.63,36.36,0.66,1.04,8.02,78.06,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.66,0.03,0.0,0.81,0,0.0
P. Gazzaniga,Spain La Liga 2025-26,Girona,Girona,GK,34.0,4000000,2027-06-30,32,3090,0,0.0,0,0.0,0.58,85.0,Argentina,"Argentina, Italy",right,195,90,no,1.4,0.12,50.0,0.32,100.0,0.0,0.0,0.0,1.34,1.62,0.03,4,0.12,1,0.03,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.06,100.0,0.0,0.0,0.0,16.75,0.09,0.12,25.28,84.33,13.43,72.67,0.03,0.0,10.98,98.41,16.57,98.07,8.68,58.39,30.12,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,34.85,0.15,0.0,0.26,11.11,0.0,0.0,6.06,62.5,44,1.28,156,4.54,6,71.79,41.45,1.21,-2.55,-0.074,0.0,1.57,0.32,,,,0.0,0,0.0
Leo Román,Spain La Liga 2025-26,Mallorca,Mallorca,GK,25.0,1800000,2030-06-30,31,3086,0,0.0,0,0.0,0.38,76.92,Spain,Spain,right,189,78,no,1.28,0.12,75.0,0.2,71.43,0.03,0.04,0.0,1.17,1.48,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,16.8,0.35,0.06,22.89,88.15,13.97,83.72,0.0,0.0,8.31,95.44,14.61,97.8,8.25,71.38,30.84,48.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,58.33,0.17,16.67,0.12,50.0,0.03,0.0,7.12,78.69,48,1.4,155,4.52,3,69.03,49.91,1.46,1.91,0.056,0.0,0.93,0.2,,,,0.0,0,0.0
