Player,League,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Manzambi,Germany Bundesliga 2025-26,Freiburg,Freiburg,"LDMF, LCMF, LAMF",20.0,0,2030-06-30,26,2178,5,4.67,3,3.01,19.13,52.48,Switzerland,Switzerland,right,182,75,no,5.74,3.26,72.15,2.85,52.17,0.37,0.53,0.08,3.02,4.29,0.83,4,0.17,2,0.08,2.98,0.21,5,0.21,0.19,1,0.04,45,1.86,31.11,11.111,0.12,1.57,44.74,0.95,52.17,0.62,33.33,0.33,3.1,50.67,11.07,48.51,2.23,2.98,0.33,30.7,0.79,3.18,39.01,84.85,10.7,71.43,6.82,94.55,13.68,88.82,34.71,89.52,2.73,48.48,17.13,32.51,0.12,0.7,0.08,0.04,0.33,37.5,0.54,5.45,74.24,2.15,44.23,0.74,16.67,0.74,0.7,4.63,79.46,0,,0,,0,0.0,0.0,0.0,,,1.12,,,0.0,0.0,0.0,0.0,0,0.0
J. Tah,Germany Bundesliga 2025-26,Bayern München,Bayern München,"LCB, RCB",30.0,30000000,2029-06-30,27,2155,2,0.7,1,0.32,10.69,60.55,Germany,"Germany, Côte d'Ivoire",right,195,94,no,7.14,4.13,68.69,3.34,63.75,0.08,0.14,0.71,4.22,7.2,1.13,7,0.29,0,0.0,0.29,0.08,2,0.08,0.03,1,0.04,7,0.29,57.14,28.571,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.25,33.33,1.29,29.03,0.67,0.84,0.04,59.18,0.58,0.25,74.92,95.71,24.89,92.62,3.38,97.53,34.29,98.05,72.71,96.73,2.17,63.46,15.71,24.42,0.01,0.17,0.0,0.0,0.08,50.0,0.13,8.6,93.2,0.29,71.43,0.38,77.78,0.38,0.0,6.72,78.26,0,,0,,0,0.0,0.0,0.0,,,1.92,,,0.0,0.0,0.0,0.0,0,0.0
M. Pereira Lage,Germany Bundesliga 2025-26,St. Pauli,St. Pauli,"LW, CF, AMF",29.0,2500000,2028-06-30,28,2154,2,4.85,2,1.76,20.26,41.65,France,"France, Portugal",right,180,69,no,5.22,4.85,56.9,5.77,37.68,0.13,0.13,0.08,2.34,2.49,1.34,3,0.13,0,0.0,1.96,0.08,2,0.08,0.2,1,0.04,39,1.63,35.9,5.128,0.08,1.55,27.03,0.96,21.74,0.58,35.71,0.17,1.75,52.38,6.02,43.06,2.26,0.71,0.21,15.46,2.47,1.3,20.26,68.66,5.26,50.79,4.64,89.19,5.01,66.67,17.59,73.4,1.3,45.16,15.35,21.87,0.07,0.75,0.08,0.0,0.13,33.33,0.21,1.8,53.49,1.59,36.84,0.17,25.0,0.42,0.5,2.47,52.54,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.29,0.08,0.0,1.13,0,0.0
R. Hendriks,Germany Bundesliga 2025-26,Stuttgart,Stuttgart,"LCB, RCB",24.0,800000,2028-06-30,30,2153,0,0.25,3,0.64,12.83,62.87,Netherlands,Netherlands,left,189,83,no,7.94,5.1,64.75,3.09,59.46,0.38,0.57,0.54,4.26,6.47,0.67,3,0.13,0,0.0,0.88,0.0,0,0.0,0.01,0,0.0,4,0.17,0.0,0.0,0.13,1.05,40.0,1.0,41.67,0.04,0.0,0.13,0.59,78.57,2.3,56.36,0.75,1.25,0.21,37.12,0.79,0.92,48.49,90.17,16.51,83.29,6.06,98.62,17.39,94.47,44.94,93.3,2.55,54.1,18.25,31.71,0.03,0.38,0.04,0.04,0.0,0.0,0.17,5.27,77.78,1.05,48.0,0.25,16.67,0.29,0.33,6.19,73.65,0,,0,,0,0.0,0.0,0.0,,,2.68,,,0.0,0.0,0.0,0.0,0,0.0
K. Laimer,Germany Bundesliga 2025-26,Bayern München,Bayern München,"RB, LB",28.0,0,2027-06-30,28,2147,3,1.68,6,2.8,14.5,45.09,Austria,Austria,right,180,72,no,7.0,6.71,63.13,2.1,40.0,0.13,0.22,0.25,2.64,4.73,1.13,8,0.34,0,0.0,1.22,0.13,3,0.13,0.07,0,0.0,16,0.67,50.0,18.75,0.25,2.1,30.0,0.38,22.22,1.63,33.33,0.25,0.88,23.81,4.02,23.96,3.31,2.31,0.17,48.08,1.97,0.34,57.3,88.51,17.69,83.18,12.41,97.64,13.37,88.4,53.57,91.94,1.76,52.38,14.71,27.48,0.12,1.17,0.04,0.04,0.08,50.0,0.71,5.11,89.34,2.77,60.61,0.25,83.33,1.47,0.5,6.12,65.75,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,0,0.0
M. Grüll,Germany Bundesliga 2025-26,Werder Bremen,Werder Bremen,"CF, RAMF, LAMF",27.0,4000000,,32,2139,3,3.7,0,2.14,18.64,39.28,Austria,Austria,right,182,74,no,5.64,4.67,59.46,1.89,26.67,0.17,0.22,0.29,2.69,3.45,1.39,5,0.21,0,0.0,2.73,0.13,3,0.13,0.16,0,0.0,42,1.77,26.19,7.143,0.0,2.4,31.58,0.5,33.33,1.89,31.11,0.08,2.44,62.07,8.16,36.08,2.73,2.06,0.34,20.41,1.39,1.18,26.21,75.92,7.49,67.98,6.69,91.19,6.73,71.88,22.55,82.09,1.39,51.52,16.83,20.6,0.09,0.97,0.08,0.04,0.08,0.0,0.29,2.69,70.31,2.95,52.86,0.13,0.0,1.18,0.67,4.38,74.04,0,,0,,0,0.0,0.0,0.0,,,0.04,,,1.05,0.13,33.33,0.17,0,0.0
M. Beier,Germany Bundesliga 2025-26,Borussia Dortmund,Borussia Dortmund,"AMF, CF, LWB",23.0,0,2029-06-30,31,2137,9,7.83,7,3.08,16.76,37.44,Germany,Germany,right,185,72,no,5.43,4.72,53.57,2.7,28.13,0.34,0.48,0.13,2.57,3.67,1.26,3,0.13,0,0.0,2.27,0.38,9,0.38,0.33,1,0.04,47,1.98,40.43,19.149,0.29,1.56,24.32,1.22,31.03,0.34,0.0,0.08,2.32,45.45,6.74,34.38,4.34,1.31,0.29,19.42,1.64,0.93,24.81,70.63,5.05,59.17,6.61,87.9,6.95,73.33,22.03,75.72,1.26,36.67,15.44,15.65,0.13,1.09,0.08,0.0,0.13,33.33,0.67,1.22,55.17,1.77,50.0,0.21,40.0,1.52,0.34,3.45,60.98,0,,0,,0,0.0,0.0,0.0,,,0.21,,,0.04,0.04,0.0,0.04,0,0.0
A. Nusa,Germany Bundesliga 2025-26,RB Leipzig,RB Leipzig,"LWF, LW",21.0,0,2029-06-30,30,2135,4,4.39,4,3.97,24.24,47.65,Norway,"Norway, Nigeria",right,180,73,no,3.46,3.25,57.14,1.14,40.74,0.0,0.0,0.0,1.6,2.18,0.38,0,0.0,0,0.0,7.67,0.17,4,0.17,0.18,0,0.0,62,2.61,29.03,6.452,0.17,3.16,30.67,3.12,31.08,0.0,0.0,0.72,8.47,67.16,17.92,47.53,4.05,4.89,0.63,21.79,1.56,2.57,27.32,78.55,6.32,72.0,7.42,94.32,8.05,72.25,22.89,86.56,1.43,50.0,16.82,28.24,0.17,1.01,0.04,0.0,0.34,75.0,0.72,2.66,73.02,3.79,47.78,0.63,40.0,1.98,1.18,3.84,86.81,0,,0,,0,0.0,0.0,0.0,,,0.08,,,0.17,0.08,0.0,0.21,0,0.0
J. Sands,Germany Bundesliga 2025-26,St. Pauli,St. Pauli,RCMF,25.0,3000000,2028-12-31,24,2109,1,1.35,0,0.67,15.36,56.94,United States,United States,right,186,73,no,7.85,5.29,67.74,4.78,54.46,0.09,0.09,0.3,4.18,4.36,1.11,4,0.17,0,0.0,0.64,0.04,1,0.04,0.06,1,0.04,14,0.6,28.57,7.143,0.0,0.43,40.0,0.0,0.0,0.43,40.0,0.04,0.43,70.0,2.82,51.52,0.94,0.21,0.04,24.37,0.34,1.62,36.79,79.47,13.61,67.08,4.78,91.07,11.05,86.49,32.82,84.27,3.58,40.48,16.16,31.6,0.03,0.26,0.0,0.04,0.0,0.0,0.09,5.33,65.6,1.07,36.0,0.09,50.0,0.34,0.17,6.66,55.77,0,,0,,0,0.0,0.0,0.0,,,0.47,,,0.0,0.0,0.0,0.0,0,0.0
D. Köhn,Germany Bundesliga 2025-26,Union Berlin,Union Berlin,"LWB, LB",27.0,6000000,2029-06-30,29,2108,1,1.97,3,2.52,13.06,50.0,Germany,"Germany, Ghana",left,180,73,no,6.96,5.89,60.87,0.77,44.44,0.26,0.28,0.17,3.12,3.39,1.41,5,0.21,1,0.04,2.09,0.04,0,0.0,0.08,0,0.0,27,1.15,18.52,3.704,0.13,3.12,34.25,3.03,33.8,0.09,50.0,0.17,1.32,61.29,4.27,41.0,1.2,0.47,0.13,18.1,1.15,0.64,26.85,74.4,9.09,66.67,5.34,94.4,6.62,67.1,19.81,84.91,4.18,51.02,19.66,27.53,0.11,0.9,0.04,0.04,0.0,0.0,0.34,3.2,58.67,2.69,44.44,0.26,50.0,0.43,1.2,5.34,74.4,0,,0,,0,0.0,0.0,0.0,,,0.81,,,1.49,0.21,0.0,1.02,1,100.0
